STATS,Autoc,contr,corrm,corrp,cprom,cshad,dissi,energ,entro,homom,homop,maxpr,sosvh,savgh,svarh,senth,dvarh,denth, inf1h, inf2h,indnc,idmnc
Sample(1)1,25.458,0.1525,0.98543,0.98543,759.44,-0.50324,0.11663,0.10119,2.4994,0.94571,0.94484,0.11877,25.39,9.0109,64.653,2.3878,0.1525,0.3691,-0.79727,0.98164,0.98738,0.99779
Sample(1)2,25.388,0.13583,0.98712,0.98712,769.65,0.9815,0.11082,0.10185,2.4855,0.94763,0.94691,0.1236,25.316,8.985,64.548,2.3828,0.13583,0.35649,-0.80432,0.98219,0.98793,0.99799
Sample(1)3,25.365,0.14185,0.98647,0.98647,761.49,1.1681,0.10826,0.10273,2.4767,0.9496,0.94882,0.12122,25.301,8.9874,64.572,2.3736,0.14185,0.34989,-0.80838,0.98249,0.98829,0.99794
Sample(1)4,25.358,0.15975,0.98489,0.98489,773.76,0.067757,0.12195,0.10023,2.5154,0.94356,0.94251,0.12409,25.287,8.9785,64.302,2.3964,0.15975,0.38137,-0.7901,0.98111,0.98682,0.99766
Sample(1)5,25.432,0.22876,0.97835,0.97835,766.52,-0.37353,0.1553,0.095106,2.5938,0.92999,0.9285,0.11946,25.41,9.0032,63.997,2.4384,0.22876,0.44776,-0.7523,0.97785,0.98342,0.99679
Sample(1)6,25.459,0.17934,0.98279,0.98279,757.9,-0.44012,0.12842,0.099192,2.5292,0.94117,0.94009,0.11873,25.411,9.0195,64.437,2.4033,0.17934,0.3937,-0.78344,0.98057,0.9862,0.99745
Sample(1)7,25.318,0.27764,0.97369,0.97369,759.01,0.26426,0.16698,0.094518,2.6145,0.92788,0.92573,0.11853,25.317,8.9845,63.696,2.437,0.27764,0.46906,-0.74249,0.97692,0.98246,0.99621
Sample(1)8,25.413,0.21921,0.97917,0.97917,769.65,-2.3249,0.14965,0.096167,2.5785,0.93259,0.93114,0.12532,25.376,9.0025,64.034,2.4294,0.21921,0.43676,-0.75934,0.97848,0.98402,0.99691
Sample(1)9,25.353,0.25922,0.97547,0.97547,767.93,-1.4473,0.16723,0.093841,2.6203,0.92615,0.92419,0.12291,25.347,8.9887,63.68,2.446,0.25922,0.47148,-0.73955,0.97663,0.98227,0.99639
Sample(1)10,25.449,0.25955,0.97545,0.97545,766.05,-1.2991,0.15903,0.096041,2.5938,0.93112,0.92903,0.12037,25.441,9.0096,64.262,2.4232,0.25955,0.45445,-0.75207,0.97781,0.98326,0.99642
